"S1","S2","S3","S4","S5","S6","S7"
333.5,129,18.9,79,83.75,74,139
332,130.5,19.3,78.5,84.75,74.25,140
328.5,130,18.4,78.25,84,74.5,139
334,130,17.7,78,83.25,74.5,139.5
332.5,130,18.1,77.75,82.75,74,138
333,132,18.5,76.75,86,74.5,138
329,133,19.1,77.75,86.75,74,137
329.5,133,19.4,77.75,87.25,74,140
330.5,131.5,19.7,77.5,88,74.25,139.5
332,131.5,19.6,77.5,87.25,74.5,141.5
338,134.5,20.5,77.75,88.5,74.25,142
336.5,135.5,20.1,78.25,88,74.5,141
338,137.5,20.4,78.25,88.5,74.75,142
341,140,20.3,78.5,89.25,75.5,143
347,137.5,20.4,77.75,89.5,75.5,144
345.5,138,20.6,78.5,89,75.25,143.5
347,137.5,20.2,79.25,88.25,76,144
344.5,138,20.8,81,88.75,75,147
345,138.5,20.8,80.5,91.5,76,148
354,139.5,20.3,80.5,93,76.75,149.5
359.5,141,20.2,80.5,94,77.75,148.5
354,142,19.9,79.5,94.5,74.5,150
352.5,142,19.7,79,95.5,75.5,150
337,142.5,19.8,78.5,101.5,74.75,149.5
334.5,141.5,20.4,78.75,101,75,148.5
312,144,21.5,79.75,103.5,75,151
314,142.5,21.2,79.5,102,74.75,150.5
315,141,21.3,79,102.5,74.5,148.5
313.5,142.5,21.3,79.25,103,74.5,149
313.5,142.5,21.6,79.25,104,74.25,149
310,141.5,21.5,78.25,104,74.5,147.5
313,142.5,21.5,78.25,104,73.25,147.5
314,142.5,22,78.25,102.5,74.25,147.5
311.5,131,22.4,77.5,101.5,74,147
312,130.5,22.4,79.25,101.5,73.75,147
308.5,131.5,22.1,80,100.5,73,146
307,131.5,22.1,79.75,99.5,74.25,146.5
302.5,134,23,81.75,100.5,76.75,151.5
301,133,22.6,81.75,100.5,77,151.5
300.5,134,23.2,82,103.5,79.5,153
301.5,133,23.6,81.5,106,77.75,155
299.5,131.5,23.5,81.25,105.5,77,155.5
289.5,131.5,23.3,80.5,105,76,155.5
283.5,132.5,23.4,79.75,105.5,75.75,155
285,134,23.1,79.75,103.5,76.25,155
287.5,134,23,79.5,102,76.5,155
286,132,22.8,79,100.5,76.5,153.5
284.5,131.5,23.5,79,103.5,77,154.5
280.5,131.5,22.9,78,105,76.75,155
277.5,127.5,23,77.25,107.5,76.5,153.5
279.5,126.5,23,76.25,106.5,77,154
285.5,129.5,23.6,77,110,77,153.5
284.5,130.5,23,76,107.5,77,153.5
291,129,22.5,81,107.5,77,153
288.5,132,20.8,83.5,108.5,76.75,154
283.5,128,19.8,84,105,75.5,153
282,129.5,20.4,81.25,104.5,77,151.5
287.5,132,20.7,78.5,107,77.75,152.5
289.5,131,20.8,80.75,109,79.25,153
291.5,131.5,20.6,80.25,109.5,78.25,153.5
293,132.5,21,81.25,110.5,79.5,154
296.5,135,21.7,83,112,79.5,155
303.5,134.5,21.9,84,112,79.75,156
300.5,134,21.4,84.25,111,80.25,156
303.5,135,21.5,84.75,114,80.5,158
302,136.5,22,85.25,112.5,80.25,156
305,138,21.6,86,113.5,81.25,158
301,141.5,21.4,87,114.5,81,159
301.5,142,21.6,88.5,116,81,158
297.5,141.5,22.5,89,114.5,80,160
298.5,140,22.7,88.75,114,78.5,158.5
300,138.5,22.6,88,112.5,79,156.5
303,147,23,87.5,115,79,159
304,144.5,23.1,87.5,115.5,79.75,159
273,145,22.8,87,113,79.75,159
273,144,22.5,86.75,112.5,79.5,158.5
275,144.5,22.7,86.5,110.5,78.75,160
268,146,22.7,84.25,110.5,78,160.5
266,145.5,22.7,85.5,110.5,79.25,163
265.5,148,22.3,85.25,111,79,165
267,148.5,22.4,85,110.5,79,163.5
